Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol2	CN(C)C(=O)c1cccnc1-c1cccc2cccnc12
Mol3	CCSOc1cccc2cccnc12
Mol4	CC(=O)Nc1cccc(S(N)(=O)=O)c1C
Mol5	CC(C)c1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol6	Cc1ccc(S(=O)(=O)Nc2cnc3ccccc3c2)c(C)c1C
Mol7	O=C(NCc1cccc2cccnc12)C(F)(F)F
Mol8	O=C(Nc1cccc2cccnc12)c1ccc(C(F)(F)F)cc1F
Mol9	Cc1cc(N)c2ccccc2n1
Mol10	COc1ccc(NC(=O)c2cccc3cccnc23)cc1S(N)(=O)=O
Mol11	O=C(Nc1cccc2cccnc12)c1cc(C(F)(F)F)ccc1F
Mol12	Ic1cccc(-c2cccc3cccnc23)c1
Mol13	Nc1ccc2cccnc2c1
Mol14	O=C(Oc1cccc2cccnc12)c1ccc(F)cc1
Mol15	FC(F)(F)Cc1cccc2cccnc12
Mol16	O=Cc1cccc2cccnc12
Mol17	CC(O)CCc1cccc2cccnc12
Mol18	CC(C)COc1cnc2ccccc2c1
Mol19	Cc1ccc2ccc(-c3cccs3)cc2n1
Mol20	CN1CCCC1c1cnc2ccccc2c1
Mol21	CCCCCCC(=O)Nc1cccc2cccnc12
Mol22	Cc1ccc2cc(NC(=O)Nc3ccc4nc(C)ccc4c3)ccc2n1
Mol23	CC(CCl)(CCl)C(=O)Nc1cccc2cccnc12
Mol24	O=S(=O)(Nc1cccc2cccnc12)c1c(F)cccc1F
Mol25	O=C(Nc1cccc2cccnc12)c1ccc([N+](=O)[O-])o1
Mol26	Cc1ccc2cc(NC(=O)c3ccccc3C)ccc2n1
Mol27	O=[N+]([O-])c1ccc(Oc2cccc3cccnc23)c(Cl)c1
Mol28	Cc1ccc(I)cc1C(=O)Nc1cccc2cccnc12
Mol29	CC(=O)c1ccc(C(=O)Nc2cccc3cccnc23)c(O)c1
Mol30	CC(=O)C(CC=O)Nc1cccc2cccnc12
Mol31	N#Cc1cccc(-c2cccc3cccnc23)c1
Mol32	COC(=O)C(=O)Nc1cccc2cccnc12
Mol33	CC(CC(=O)Nc1cccc2cccnc12)c1ccccc1Cl
Mol34	O=C(Nc1cccc2cccnc12)c1ccc(OC(F)(F)F)cc1
Mol35	COc1ccc(OCC(=O)Nc2cccc3cccnc23)cc1
Mol36	N#Cc1cnc2ccccc2c1
Mol37	CCCc1cccc2cccnc12
Mol38	O=C(Nc1cccc2cccnc12)c1ccc(F)cc1
Mol39	N#CSc1cccc2cccnc12
Mol40	CN(C)c1ccc(/C=N/c2cnc3ccccc3c2)cc1
Mol41	C=C(Cc1ccccc1)C(=O)Nc1cccc2cccnc12
Mol42	COS(=O)c1cccc2cccnc12
Mol43	NC(=O)c1cccc2cccnc12
Mol44	CCC(C)c1ccc2ncccc2c1
Mol45	C=CC(Cc1ccccc1)C(=O)Nc1cccc2cccnc12
Mol46	CC(C)(C)OC(=O)Nc1cccc2cccnc12
Mol47	O=C(Nc1cccc2cccnc12)c1cnc(Cl)cn1
Mol48	C=C(C(=O)Nc1cccc2cccnc12)c1ccc(C(F)(F)F)cc1
Mol49	BrC(Br)c1cccc2cccnc12
Mol50	CC(C)(C)OC(=O)NCc1cccc2cccnc12
Mol51	O=C(CC(F)c1ccccc1Cl)Nc1cccc2cccnc12
Mol52	COC(=O)Cc1cccc2cccnc12
Mol53	COc1ccccc1NC(C)=O
Mol54	O=C(COc1cccc2cccnc12)Nc1nccs1
Mol55	COC1CCC(=NNc2cccc3cccnc23)CC1
Mol56	CCOC(=O)/C(=N\Nc1cccc2cccnc12)c1ccccc1
Mol57	O=C(Cc1ccc(I)cc1)Nc1cccc2cccnc12
Mol58	O=C(Nc1cccc2cccnc12)c1ccccc1O
Mol59	COc1cccc(-c2ccc3ccc(C)nc3c2)c1
Mol60	O=C(OCc1ccccc1)c1ccc2ncccc2c1
Mol61	O=C(Nc1cccc2cccnc12)c1cc[nH]n1
Mol62	CCC(C)c1ccnc2ccccc12
Mol63	Cc1nc(Nc2cccc3cccnc23)c(C)c(C)c1O
Mol64	COc1ccc(C(C)C)c(C(=O)Nc2cccc3cccnc23)c1
Mol65	CCCOc1ccc2cccnc2c1
Mol66	CCOC(=O)CSc1cccc2cccnc12
Mol67	CCOc1cc(C(=O)Nc2cccc3cccnc23)cc(OCC)c1OCC
Mol68	Brc1cccc(COc2cccc3cccnc23)c1
Mol69	C=C(C(=O)Nc1cccc2cccnc12)c1cccc(C(F)(F)F)c1
Mol70	COc1cc(NC(=O)c2ccccc2Cl)c2ncccc2c1
Mol71	C/C=C\C(C)=C(\C)C(=O)Nc1cccc2cccnc12
Mol72	Cc1ccc(NC(=O)Nc2cccc3cccnc23)cc1
Mol73	CCC(C)c1cccc2ncccc12
Mol74	CC1=C(C)C(c2cccc3cccnc23)C(C)=C1C
Mol75	Cl.O=Cc1ccc2ccccc2n1
Mol76	COc1ccc(C(Nc2cccc3cccnc23)C(F)(F)F)cc1
Mol77	CC(C)c1ccccc1C(=O)Nc1cccc2cccnc12
Mol78	COCC(CO)C(=O)Nc1cccc2cccnc12
Mol79	O=C(Nc1cccc2cccnc12)c1ccncc1I
Mol80	Cc1ccc(Oc2cnc3ccccc3n2)cc1
Mol81	O=C(OCc1ccccc1)c1ccc2ccccc2n1
Mol82	COC(C)C(C)C(=O)Nc1cccc2cccnc12
Mol83	Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)nc1
Mol84	O=C(Nc1cccc2cccnc12)c1ccc(Cl)c(Cl)c1
Mol85	COc1ccc(CNC(C)c2cccc3cccnc23)cc1C
Mol86	CC(C)=CC(=O)Oc1cccc2cccnc12
Mol87	CN(C)C(=O)Cc1cccc2cccnc12
Mol88	Cc1cncc(C)c1C(=O)Nc1cccc2cccnc12
Mol89	CCOC(=O)c1cccc(Cc2cccc3cccnc23)c1
Mol90	CCCC(F)CC(=O)Nc1cccc2cccnc12
Mol91	COc1ccccc1C(=O)c1cccc2cccnc12
Mol92	O=C(Cc1cccc2cccnc12)Nc1ccc(F)cc1
Mol93	C=C(C)C(=O)Nc1cccc2cccnc12
Mol94	C(#Cc1cnc2ccccc2c1)CCC#Cc1cnc2ccccc2c1
Mol95	O=C(Nc1cccc2cccnc12)c1cscn1
Mol96	O=C(Nc1ccccc1)Oc1cccc2cccnc12
Mol97	Cc1ccc(-c2cccc3cccnc23)c(F)c1
Mol98	Cc1ccsc1C(=O)Nc1cccc2cccnc12
Mol99	CC(CC(=O)O)Nc1cccc2cccnc12
Mol100	O=S(=O)(Nc1cccc2cccnc12)c1ccccn1
Mol101	CCOc1ccc2cccnc2c1
Mol102	COc1cc(/C=C/c2cnc3ccccc3c2)cc(OC)c1OC
Mol103	CC(=O)CCC(=O)c1ccc2ncccc2c1
Mol104	Cc1cc(S(=O)(=O)Nc2cccc3cccnc23)c(C)cc1Cl
Mol105	CC(C)C(C)C(=O)Nc1cccc2cccnc12
Mol106	CC(=O)NCC(=O)Nc1cccc2cccnc12
Mol107	Cc1ccccc1NC(=O)Cc1cccc2cccnc12
Mol108	COc1ccc(-n2nc(Nc3cccc4cccnc34)c(C(C)=O)n2)cc1
Mol109	Cc1ccc(NC(=O)CSc2cccc3cccnc23)c(C)c1
Mol110	c1cnc2c(C3CC3)cccc2c1
Mol111	O=C(NO)c1ccc2ccccc2n1
Mol112	Clc1ccc(Oc2cccc3cccnc23)cc1
Mol113	Cc1ccc(C(=O)Nc2cccc3cccnc23)c(N)c1
Mol114	Oc1ccc(CSc2cccc3cccnc23)cc1F
Mol115	O=S(=O)(Nc1cccc2cccnc12)N1CCOCC1
Mol116	O=C(O)CC(O)(CC(=O)O)C(=O)O.Oc1cccc2cccnc12
Mol117	O=C(CC(F)c1ccc(Cl)cc1Cl)Nc1cccc2cccnc12
Mol118	CC(C)(C)/N=c1\c(O)c(O)\c1=N/c1cnc2ccccc2c1
Mol119	CCOC(=O)C(=O)Nc1cccc2cccnc12
Mol120	O=C(/C=C/c1ccccc1)Oc1cccc2cccnc12
Mol121	Cc1cc(C)c(NC(=O)OCc2cccc3cccnc23)c(C)c1
Mol122	C=Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol123	[N-]=[N+]=Nc1cccc2cccnc12
Mol124	COc1ccccc1S(=O)(=O)Nc1cccc2cccnc12
Mol125	O=C(Nc1cccc2cccnc12)c1ccc(Cl)cc1
Mol126	CCc1ccc2ccccc2n1
Mol127	Cc1ccc2ccc(-c3cccc(F)c3)cc2n1
Mol128	O=C(Nc1cccc2cccnc12)C1=C(I)CCCC1
Mol129	Nc1ccc(/C=C/c2cccc3cccnc23)cc1
Mol130	O=C(Cc1ccccc1C(=O)O)Nc1cccc2cccnc12
Mol131	CCN(CC)c1ccccc1Nc1cccc2cccnc12
Mol132	Cc1ccc(O)c(CNc2cnc3ccccc3c2)c1
Mol133	CCc1nc(C)c(-c2cccc3cccnc23)s1
Mol134	C=C1C=C(C)C(=O)N1c1cccc2cccnc12
Mol135	Cc1cccc(C)n1
